Bank,Lånenavn,Nominell rente,Etableringsgebyr,Etableringsgebyr i %,Termingebyr,Min beløp,Maks beløp,Min alder,Maks alder,Maks løpetid (år),Belaningsgrad
Jæren Sparebank,Eika Billån under 20% Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Østfold Akershus,Caravanlån inntil 100%,8.85,4599.0,0.0,95.0,50000.0,3000000.0,18,100,10,100.0
Orkla Sparebank,Eika MC/ATV med 20 % til 35 % Egenkapital,8.85,3000.0,0.0,85.0,40000.0,200000.0,18,70,7,80.0
Valdres Sparebank,Eika Caravanlån under 20 % Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,85.0
Sparebanken Vest,Fritidslån 100%,9.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,5,100.0
Nidaros Sparebank,MC 100%,9.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,5,100.0
Aurskog Sparebank,Eika Båtlån,9.15,3800.0,0.0,85.0,0.0,1000000000.0,18,100,10,80.0
Rindal Sparebank,Eika MC/ATV lån under 20 % Egenkapital,9.55,3000.0,0.0,85.0,40000.0,200000.0,18,70,7,100.0
SpareBank 1 Østfold Akershus,Båt under 7 meter inntil 80%,10.95,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,80.0
Lillesands Sparebank,Caravanlån 65 %,6.8,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,65.0
Odal Sparebank,Eika Billån 20%-35% Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Østfold Akershus,Båt under 7 meter inntil 65%,9.95,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,65.0
Selbu Sparebank,MC 100%,9.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,5,100.0
Høland og Setskog Sparebank,Grønt Billån 20%-35% Egenkapital,7.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Finans Midt-Norge AS,Kaskofritt lån ATV/Snøscooter,14.75,2700.0,0.0,95.0,30000.0,133916.0,18,100,5,100.0
SpareBank 1 Lom og Skjåk,Kaskofritt lån ATV/Snøscooter,14.75,2700.0,0.0,95.0,30000.0,133916.0,18,100,5,100.0
Skudenes & Aakra Sparebank,Fritidslån 100%,9.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,5,100.0
Bjugn Sparebank,Eika Båtlån,9.15,3800.0,0.0,85.0,0.0,1000000000.0,18,100,10,80.0
Jæren Sparebank,Lån uten sikkerhet,19.1,1500.0,0.0,70.0,0.0,500000.0,18,100,5,0.0
Hegra Sparebank,Eika MC/ATV over 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,200000.0,18,70,7,65.0
Skudenes & Aakra Sparebank,MC 100%,9.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,5,100.0
Hegra Sparebank,Billån i banken under 20 % egenkapital,6.7,2000.0,0.0,50.0,0.0,1000000000.0,18,100,5,100.0
Luster Sparebank,Fritidslån 100%,9.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,5,100.0
