Bank,Nominell,Etabl.gebyr,Termingebyr,Depotgebyr,Maks belåningsgrad,Maks løpetid,Min Alder,Max Alder
"NORDEA BANK ABP, FIL...",5.04,0.0,50.0,0.0,90.0,30,18,100
"NORDEA BANK ABP, FIL...",5.09,0.0,50.0,0.0,90.0,30,18,100
"NORDEA BANK ABP, FIL...",5.14,0.0,50.0,0.0,90.0,30,18,100
Skagerrak Sparebank,5.3,0.0,60.0,0.0,60.0,25,18,100
Vekselbanken,6.25,0,65.0,0.0,75.0,30,18,100
Vekselbanken,5.25,0.0,50.0,0.0,75.0,30,18,100
SpareBank 1 Nord-Nor...,9.25,0,65.0,0,85.0,2,18,100
BONORD (DNB),5.93,0.0,65.0,0.0,90.0,30,18,100
Vekselbanken,5.25,0.0,50.0,0.0,75.0,30,18,100
Nidaros Sparebank,5.74,0,75.0,2000.0,30.0,30,18,100
Vekselbanken,6.25,0,65.0,0.0,75.0,30,18,100
Skagerrak Sparebank,9.15,0,60.0,1000.0,85.0,2,18,100
"NORDEA BANK ABP, FIL...",5.14,0.0,50.0,0.0,90.0,30,18,100
"NORDEA BANK ABP, FIL...",5.04,0.0,50.0,0.0,90.0,30,18,100
Vekselbanken,7.4,0,65.0,0.0,85.0,30,18,100
Evje og Hornnes Spar...,6.1,0,60.0,1000.0,75.0,30,18,100
Nidaros Sparebank,5.54,0,60.0,2000.0,50.0,30,18,100
Nidaros Sparebank,5.44,0,60.0,2000.0,50.0,30,18,100
Landkreditt Bank AS,6.35,0.0,0.0,500.0,75.0,30,18,80
Vekselbanken,5.49,0,65.0,0,85.0,30,18,33
Vekselbanken,6.35,0,65.0,0,60.0,30,18,100
Oslofjord Sparebank,6.35,3000.0,75.0,0.0,75.0,30,18,100
OBOS-banken AS,5.62,2800.0,35.0,0.0,90.0,30,18,33
SpareBank 1 Hallingd...,5.5,0,70.0,750.0,85.0,25,18,33
Nidaros Sparebank,4.99,0.0,60.0,0.0,90.0,10,18,100
OBOS-banken AS,5.47,2800.0,35.0,0.0,90.0,30,18,33
Tinn Sparebank,5.85,2500.0,60.0,1000.0,75.0,30,18,100
JBF Bank og Forsikri...,8.7,5000.0,0.0,1000.0,80.0,2,18,100
Luster Sparebank,5.29,0,60.0,750.0,85.0,30,18,33
JBF Bank og Forsikri...,5.14,3200.0,65.0,1000.0,75.0,30,18,100
Oslofjord Sparebank,5.24,3000.0,75.0,0.0,90.0,30,18,33
JBF Bank og Forsikri...,5.04,3200.0,65.0,1000.0,75.0,30,18,100
Luster Sparebank,6.7,0,70.0,750.0,60.0,20,18,100
Marker & Eidsberg Sp...,5.24,2000.0,50.0,1000.0,90.0,30,18,33
Aurskog Sparebank,5.4,3000.0,75.0,3000.0,75.0,30,18,100
Ørland Sparebank,9.4,0,0.0,2000.0,85.0,1,18,100
Ørland Sparebank,6.45,0,65.0,2000.0,60.0,25,18,100
Aurskog Sparebank,5.35,3000.0,75.0,3000.0,75.0,30,18,100
Ørland Sparebank,5.6,0,65.0,2000.0,85.0,30,18,33
Bien Sparebank ASA,7.19,4000.0,0.0,0,50.0,30,60,95
Aurskog Sparebank,5.35,3000.0,75.0,3000.0,75.0,30,18,100
Ørland Sparebank,6.2,0,65.0,2000.0,60.0,30,34,100
Bien Sparebank ASA,5.64,3000.0,65.0,0,75.0,25,18,100
"Bank2, en del av Eni...",8.6,0,50.0,0.0,85.0,30,18,80
Ørland Sparebank,6.85,0,65.0,2000.0,85.0,30,34,100
SpareBank 1 SMN,6.34,2650.0,65.0,1200.0,70.0,30,18,100
Bien Sparebank ASA,5.99,4000.0,65.0,0,60.0,30,18,100
Bien Sparebank ASA,5.99,4000.0,65.0,0,75.0,30,18,100
"Bank2, en del av Eni...",8.6,0,50.0,0.0,85.0,30,18,80
OBOS-banken AS,4.85,2800.0,35.0,0,75.0,30,18,100
OBOS-banken AS,5.91,5000.0,35.0,0,90.0,30,18,100
Askim og Spydeberg S...,5.65,2500.0,50.0,1000.0,50.0,30,18,100
SpareBank 1 Nord-Nor...,5.49,4000.0,65.0,1300.0,85.0,30,18,39
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,39
SpareBank 1 Østlande...,5.44,2300.0,60.0,1000.0,75.0,25,18,100
SpareBank 1 Østfold ...,5.39,3000.0,60.0,0.0,90.0,30,18,33
Askim og Spydeberg S...,5.9,2500.0,50.0,1000.0,75.0,30,18,100
SpareBank 1 Østlande...,7.85,2300.0,60.0,1000.0,60.0,25,18,100
SpareBank 1 Hallingd...,6.1,0,75.0,750.0,60.0,10,18,100
Sparebanken Møre,5.99,2500.0,75.0,1000.0,75.0,30,18,100
Askim og Spydeberg S...,5.4,2500.0,50.0,1000.0,75.0,30,18,33
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,33
SpareBank 1 Østlande...,5.49,2300.0,60.0,1000.0,90.0,30,18,100
Sparebanken Møre,6.25,2500.0,75.0,1000.0,85.0,30,18,100
Askim og Spydeberg S...,5.65,2500.0,50.0,1000.0,85.0,30,18,33
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,39
SpareBank 1 Østlande...,5.44,2300.0,60.0,1000.0,75.0,30,18,100
Sparebanken Møre,6.09,2500.0,75.0,1000.0,60.0,30,18,100
Askim og Spydeberg S...,5.85,2500.0,50.0,1000.0,60.0,30,18,100
SpareBank 1 Østfold ...,5.49,3000.0,60.0,0.0,90.0,30,18,
Romerike Sparebank,5.2,0.0,70.0,0.0,85.0,30,18,34
SpareBank 1 Østlande...,6.54,2300.0,60.0,1000.0,85.0,30,34,100
Skagerrak Sparebank,5.09,2000.0,60.0,1000.0,75.0,25,18,33
NOBL (DNB),5.89,0.0,65.0,0.0,100.0,1,18,100
Sparebanken Møre,5.69,2500.0,75.0,1000.0,50.0,30,18,100
Nidaros Sparebank,5.84,0,75.0,2000.0,60.0,30,18,100
Askim og Spydeberg S...,5.4,2500.0,50.0,1000.0,50.0,30,18,33
SpareBank 1 Østfold ...,5.89,3000.0,60.0,0.0,90.0,25,34,100
SpareBank 1 Østlande...,6.19,2300.0,0.0,1000.0,60.0,30,18,100
NOBL (DNB),5.93,0.0,65.0,0.0,60.0,30,18,100
SpareBank 1 Nord-Nor...,6.4,4000.0,65.0,1300.0,85.0,30,18,100
SpareBank 1 Østfold ...,6.19,3000.0,60.0,0.0,90.0,30,34,100
SpareBank 1 Østlande...,5.6,2300.0,60.0,1000.0,50.0,30,18,100
Skagerrak Sparebank,5.04,2000.0,60.0,1000.0,75.0,25,18,33
SpareBank 1 Nord-Nor...,5.75,4000.0,75.0,1300.0,60.0,30,34,100
SpareBank 1 Gudbrand...,4.9,1750.0,50.0,800.0,75.0,30,18,100
